name,url,listing_id,description,date_posted,price,street_address,adress_locality,postal_code,rooms,bathrooms,listing_history,pid,type,style,building_style,building_dimensions,age,beds,bathrooms_f_h,main_living_area,total_living_area,listing_parcel_size,prov_parcel_size,assessed_at,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances_incl,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned
34 Weybridge Lane,https://www.viewpoint.ca/cutsheet/202425045/1/34-Weybridge-Lane,202425045,"Discover unparalleled luxury in this custom-built executive home located in prestigious Waterberry Park. This property showcases exceptional craftsmanship, with a myriad of upgraded features designed for comfort and style.  Step inside to find a stunning open-concept layout, highlighted by a modern linear natural gas fireplace and two storey great room with a wall of windows that captures the afternoon sun, absolutely perfect for gatherings. The large gourmet kitchen is a culinary dream,  extended island with prep sink, a wine bar, and pantry, making it ideal for entertaining.  The main floor also includes a formal dining room, versatile office space perfect for professional use or family needs, and an auto enthusiasts show-stopping double car garage featuring oversized aluminum and glass doors and ‘marbled’ epoxy floors.   You can forget about going to the spa as this primary suite is a true retreat, complete with a double sided natural gas fireplace, spacious custom built walk-in closet with island and an ensuite bath featuring a double sized shower and soaker tub.   Feel the cozy warmth of the in-floor heat in the lower level with a layout built for enjoyment, offering a family room with a wet bar, a glass walled wine storage area, a home theatre room, two additional bedrooms, a full bath, plus generous storage space as a bonus. Outside the double sliding doors, your private oasis awaits with a covered stone patio and another built-in natural gas fireplace which can be enjoyed in all seasons.  Enjoy direct access to scenic trails, a greenbelt, and a swimmable lake just a few steps away, offering endless outdoor adventures. Experience the perfect blend of tranquility and luxury in this West Bedford masterpiece—your dream home awaits!",2024-10-21,1997000,34 Weybridge Lane,Bedford,B4B 0R9,5,4,"[{'status': 'Sold', 'start_date': 'Oct 21, 2024', 'end_date': 'Mar 14, 2025', 'list_price': '$1,997,000', 'sold_price': '$1,930,000', 'duration': '144 days', 'changes': ['Nov 22, 2024\nPrice change from $2,088,000 to $1,997,000', 'Mar 3, 2025\nStatus change from For Sale to Pending', 'Mar 14, 2025\nStatus change from Pending to Sold']}]",41403478,Single Family,Detached,2 Level,54.7 x 50 +/- jogs,7,5,3 / 1,"3,897 sqft","5,716 sqft","11,195 sqft","11,196 sqft","$1,608,400 (2025)",N/A,Asphalt Shingle,"Stone, Wood Siding, Vinyl, Cementitious Board",Poured Concrete,"Fully Developed, Walkout","Ceramic, Carpet, Hardwood, Vinyl Plank","Heat Pump, Hot Water, In Floor",N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (double built-in)",Interlocking,No,N/A,"Alarm System, Ensuite Bath, HRV (Heat Recovery Ventilation)",N/A,"Electrical, Cable, Telephone, Natural Gas, High Speed Internet",N/A,N/A,N/A,None,Royal Lepage Atlantic,No,N/A,No
41 Weybridge Lane,https://www.viewpoint.ca/cutsheet/202417337/1/41-Weybridge-Lane,202417337,"This stunning 2 storey home is nestled in the desirable Park of West Bedford. This exquisite property sits on one of the best cul-de-sac lots, offering privacy and a sense of community.  So many features - main floor family room with large propane fireplace, built in shelving, lots of natural light and view of your private backyard.   Kitchen is stylish and designed for family/friends gathering, gas cooktop, large island and spacious pantry.  Twelve foot double doors to back deck area, perfect for outside dining.   Natural light through skylights in primary bedroom and family room.  Upper level - primary bedroom with 6pc ensuite - area to relax after a long day.   Three more good sized bedrooms, full bath and laundry room completes this level.   A fully developed lower level with family room, game rooms, 5th bedroom, another full bath, great area of overnight guests or extended family.  This home truly embodies comfort, style, and modern living - a dream home designed to meet all your needs and more.",2024-07-19,1670000,41 Weybridge Lane,Bedford,B4B 0R9,5,4,"[{'status': 'Expired', 'start_date': 'Jul 19, 2024', 'end_date': 'Dec 20, 2024', 'list_price': '$1,670,000', 'sold_price': '', 'duration': '154 days', 'changes': ['Sep 24, 2024\nPrice change from $1,790,000 to $1,670,000', 'Dec 19, 2024\nStatus change from For Sale to Expired']}, {'status': 'Sold', 'start_date': 'Apr 20, 2023', 'end_date': 'Jun 8, 2023', 'list_price': '$1,499,000', 'sold_price': '$1,300,000', 'duration': '49 days', 'changes': ['Jun 2, 2023\nStatus change from For Sale to Pending', 'Jun 9, 2023\nStatus change from Pending to Sold']}, {'status': 'Sold', 'start_date': 'Nov 23, 2018', 'end_date': 'Feb 1, 2019', 'list_price': '$949,000', 'sold_price': '$915,000', 'duration': '70 days', 'changes': ['Jan 10, 2019\nStatus change from For Sale to Pending', 'Jan 17, 2019\nStatus change from Pending to For Sale', 'Jan 17, 2019\nStatus change from For Sale to Pending', 'Feb 1, 2019\nStatus change from Pending to Sold']}, {'status': 'Cancelled', 'start_date': 'Jul 3, 2018', 'end_date': 'Nov 7, 2018', 'list_price': '$999,000', 'sold_price': '', 'duration': '127 days', 'changes': ['Nov 7, 2018\nStatus change from For Sale to Cancelled']}, {'status': 'Cancelled', 'start_date': 'Apr 6, 2018', 'end_date': 'Jun 12, 2018', 'list_price': '$1,039,000', 'sold_price': '', 'duration': '67 days', 'changes': ['May 29, 2018\nPrice change from $1,059,000 to $1,039,000', 'Jun 12, 2018\nStatus change from For Sale to Cancelled']}, {'status': 'Cancelled', 'start_date': 'May 17, 2017', 'end_date': 'Oct 13, 2017', 'list_price': '$1,079,000', 'sold_price': '', 'duration': '149 days', 'changes': ['Sep 26, 2017\nStatus change from For Sale to Withdrawn', 'Oct 1, 2017\nStatus change from Withdrawn to Expired', 'Oct 13, 2017\nStatus change from Expired to Cancelled']}, {'status': 'Sold', 'start_date': 'Dec 21, 2016', 'end_date': 'Jan 10, 2017', 'list_price': '$899,900', 'sold_price': '$825,000', 'duration': '20 days', 'changes': ['Dec 29, 2016\nStatus change from For Sale to Pending', 'Jan 11, 2017\nStatus change from Pending to Sold']}]",41403601,Single Family,Detached,2 Level,51.6x53,8,5,3 / 1,"3,653 sqft","5,243 sqft","14,550 sqft","14,551 sqft","$1,297,400 (2025)",No,Asphalt Shingle,"Stone, Brick, Vinyl, Insulated Concrete",Poured Concrete,"Full, Fully Developed, Walkout","Ceramic, Laminate, Hardwood","Radiant, Heat Pump",Yes,N/A,Natural Gas,Municipal,Municipal,"Yes, Double, Built-in (double, built in)","Exposed Aggregate, Double (driveway)",No,N/A,"Gas Stove(s), Elevator, Central Vacuum, Ensuite Bath, Intercom, Balcony, Fireplace(s)","Cleared, Landscaped, Level, Fenced","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Cooktop - Gas, Dishwasher, Dryer, Microwave, Oven, Refrigerator, Washer",N/A,N/A,None,Re/max Nova (halifax),Yes,N/A,No
33 Cairnstone Lane,https://www.viewpoint.ca/cutsheet/202503654/1/33-Cairnstone-Lane,202503654,"Welcome to 33 Cairnstone Lane, a luxurious retreat nestled on a serene cul-de-sac in one of the most sought-after neighborhoods. This 6-bedroom home with a den boasts 4.5 baths and offers a harmonious blend of modern design and thoughtful craftsmanship. Step inside and be captivated by the open-concept living space, featuring quartz countertops, sleek finishes, and premium appliances that elevate every culinary experience. The heart of this home is perfect for family gatherings and entertaining alike. Venture outside to your personal backyard oasis, complete with a heated 30x14 in-ground pool and a sprawling 23ft deck, ideal for summer barbecues and quiet evenings under the stars.Beyond your doorstep, enjoy the best of nature and community. Stroll to Brookline Park, explore nearby walking trails, or immerse yourself in the beauty of Blue Mountain Wilderness. With frequent family-friendly events, the area is perfect for creating lasting memories.Experience luxury, tranquility, and community—all at 33 Cairnstone Lane. Your dream home awaits!",2025-02-27,1920000,33 Cairnstone Lane,Bedford,B4B 2G5,6,5,"[{'status': 'Cancelled', 'start_date': 'Feb 27, 2025', 'end_date': 'Apr 28, 2025', 'list_price': '$1,920,000', 'sold_price': '', 'duration': '60 days', 'changes': ['Apr 28, 2025\nStatus change from For Sale to Cancelled']}, {'status': 'Sold', 'start_date': 'Jul 15, 2021', 'end_date': 'Jul 12, 2021', 'list_price': '$1,405,000', 'sold_price': '$1,405,000', 'duration': '-3 days', 'changes': ['Jul 15, 2021\nStatus change from For Sale to Sold']}]",41492919,Single Family,Detached,2 Level,irregular,3,6,4 / 1,"3,304 sqft","4,711 sqft","22,568 sqft","22,559 sqft","$1,581,100 (2025)",N/A,Asphalt Shingle,Vinyl,Poured Concrete,Fully Developed,"Ceramic, Laminate, Hardwood",Heat Pump,Yes,Yes,"Natural Gas, Electric",Municipal,Municipal,"Yes, Attached, Double (double attached)","Paved, Block (block paved)",No,N/A,"Ensuite Bath, In-Ground Pool, Fireplace(s), HRV (Heat Recovery Ventilation)",Landscaped,"Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Cooktop, Dishwasher, Dryer, Washer",N/A,N/A,None,Royal Lepage Atlantic,Yes,N/A,No
66 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202425319/1/66-Amesbury-Gate,202425319,"Welcome to this stunning 5-bedroom, 4.5-bathroom home located in the highly sought-after Waterberry Park, West Bedford. Step into the grand foyer with soaring 10-foot ceilings, leading to a private office—perfect for working from home. The open-concept living area seamlessly connects to the spacious kitchen, featuring luxurious quartz countertops, a 10-foot waterfall island, a professional-grade double cooler and freezer, a garburator, a pot filler, and more. Off the living room, the durable composite deck offers easy maintenance and outdoor enjoyment. Ascend the oak hardwood stairs to the second level, where you'll find a large primary bedroom with its own heat pump for personalized climate control. The 5-piece ensuite boasts quartz countertops, a custom backsplash, and a tiled baseboard. A second bedroom also features an ensuite with a custom shower, while a Jack-and-Jill bathroom serves two additional bedrooms. A convenient laundry room offers a dual washer and dryer combo. The fully finished basement includes a spacious rec room and a fifth bedroom with its own ensuite and custom shower. Step outside to the private, fenced backyard, where you can relax by the fire pit under a charming gazebo for outdoor retreat. Enjoy lake views and the convenience of nearby amenities. Call today for your private viewing.",2024-10-24,1399900,66 Amesbury Gate,Halifax,B4B 0R4,5,5,"[{'status': 'Cancelled', 'start_date': 'Oct 24, 2024', 'end_date': 'Nov 25, 2024', 'list_price': '$1,399,900', 'sold_price': '', 'duration': '32 days', 'changes': ['Nov 25, 2024\nStatus change from For Sale to Cancelled']}]",41403288,Single Family,Detached,2 Level,45x45'11,6,5,4 / 1,"2,990 sqft","4,327 sqft","12,615 sqft","12,615 sqft","$1,068,000 (2025)",N/A,Asphalt Shingle,"Masonite/Colour Lock, Aluminium Siding, Vinyl",Poured Concrete,Partial,"Engineered Hardwood, Tile, Laminate",Heat Pump,N/A,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (built in double)",Exposed Aggregate,No,N/A,"Ensuite Bath, See Remarks, HRV (Heat Recovery Ventilation)",Fenced,"Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Cooktop - Gas, Dryer, Garburator, Refrigerator, Washer",All appliances,N/A,None,Royal Lepage Atlantic,Yes,N/A,No
186 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202501029/1/186-Amesbury-Gate,202501029,"Welcome to your dream home! This stunning single detached house offers 3,480 sq. ft. of meticulously designed living space, perfectly blending modern elegance with practical functionality.The main floor boasts a dedicated office, perfect for remote work or study. The open-concept living and dining area is a masterpiece, featuring soaring 10-foot ceilings that enhance the sense of space and luxury. The modern kitchen is a chef's delight, equipped with sleek stainless steel appliances, ample counter space, and a contemporary design that combines style with efficiency. Retreat to the luxurious master bedroom, complete with a spa-inspired ensuite. Enjoy the serenity of a free-standing tub, elegant double-sink vanities, a custom-made shower, and a uniquely designed walk-in closet. A second bedroom also features its own ensuite for added privacy. Two additional bedrooms are thoughtfully connected by a Jack and Jill-style bathroom, The walkout basement offers a versatile recreation room for entertainment or relaxation, alongside a guest bedroom and a full bathroom. There's no shortage of storage with the generously sized storage room. Recent upgrades include a newly installed solar system and three ductless heat pumps, offering energy efficiency and year-round comfort.",2025-01-16,1149000,186 Amesbury Gate,Bedford,B4B 1H6,5,5,"[{'status': 'Sold', 'start_date': 'Apr 10, 2025', 'end_date': 'Apr 29, 2025', 'list_price': '$1,099,000', 'sold_price': '$1,075,000', 'duration': '19 days', 'changes': ['Apr 17, 2025\nStatus change from For Sale to Pending', 'Apr 30, 2025\nStatus change from Pending to Sold']}, {'status': 'Cancelled', 'start_date': 'Jan 16, 2025', 'end_date': 'Mar 18, 2025', 'list_price': '$1,149,000', 'sold_price': '', 'duration': '61 days', 'changes': ['Jan 30, 2025\nPrice change from $1,199,000 to $1,149,000', 'Mar 18, 2025\nStatus change from For Sale to Cancelled']}, {'status': 'Sold', 'start_date': 'Oct 1, 2021', 'end_date': 'Oct 20, 2021', 'list_price': '$829,900', 'sold_price': '$885,000', 'duration': '19 days', 'changes': ['Oct 8, 2021\nStatus change from For Sale to Pending', 'Oct 21, 2021\nStatus change from Pending to Sold']}]",41406760,Single Family,Detached,2 Level,34x43,7,5,4 / 1,"2,456 sqft","3,480 sqft","8,706 sqft","8,706 sqft","$1,021,000 (2025)",Potential,Asphalt Shingle,"Stone, Wood Siding, Vinyl",Poured Concrete,"Fully Developed, Walkout","Tile, Laminate, Hardwood","Baseboard, Furnace, Heat Pump, Hot Water, Ductless Cooling",Yes,N/A,"Natural Gas, Electric",Municipal,Municipal,"Yes, Double, Built-in (double built in)","Paved, Double (paved, double)",No,N/A,"Alarm System, Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation)","Partially Fenced, Cleared, Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove - Gas, Washer",N/A,N/A,"Other, Alarm System",Re/max Nova,Yes,N/A,No
92 Bristolton Avenue,https://www.viewpoint.ca/cutsheet/202417594/1/92-Bristolton-Avenue,202417594,"Welcome to you home in Brookline Park!  This one is a beauty with over 3700 square feet of living space offering a total of 4 bedrooms, with 3 on the upper level.  The main level offers an office or den on the front of the house, open concept great room with a natural gas fireplace that is visible from both the great room and dining room.  The kitchen is a dream with quartz countertops, large breakfast bar and walk in pantry.  Finishing off this level is a half bath and a mudroom as you enter from the double garage.  Upstairs offers the the primary suite with a spa like ensuite, a closet you have only dreamed about having and 2 other good sized bedrooms, laundry room and a second full bath.  The lower level offers a good size bedroom, huge family room and another full bath.",2024-07-23,1169900,92 Bristolton Avenue,Bedford,B4B 0Z7,4,4,"[{'status': 'Sold', 'start_date': 'Jul 23, 2024', 'end_date': 'Oct 7, 2024', 'list_price': '$1,169,900', 'sold_price': '$1,128,000', 'duration': '76 days', 'changes': ['Aug 28, 2024\nPrice change from $1,249,900 to $1,169,900', 'Sep 30, 2024\nStatus change from For Sale to Pending', 'Oct 8, 2024\nStatus change from Pending to Sold']}, {'status': 'Sold', 'start_date': 'Aug 27, 2020', 'end_date': 'Sep 30, 2020', 'list_price': '$729,900', 'sold_price': '$735,650', 'duration': '34 days', 'changes': ['Sep 9, 2020\nStatus change from For Sale to Pending', 'Sep 30, 2020\nStatus change from Pending to Sold']}, {'status': 'Expired', 'start_date': 'Feb 27, 2020', 'end_date': 'May 31, 2020', 'list_price': '$769,900', 'sold_price': '', 'duration': '94 days', 'changes': ['May 31, 2020\nStatus change from For Sale to Expired']}]",41466251,Single Family,Detached,2 Level,34 x 55.6,3,4,3 / 1,"2,603 sqft","3,749 sqft","11,204 sqft","11,200 sqft","$1,029,900 (2025)",Potential,Asphalt Shingle,"Stone, Wood Siding, Brick",Poured Concrete,"Full, Fully Developed","Laminate, Hardwood","Heat Pump, Fireplace, Ducted Cooling",N/A,N/A,Natural Gas,Municipal,Municipal,"Yes, Double, Built-in (double built in)",double paved,No,N/A,N/A,Landscaped,"Electrical, Cable, Telephone, Natural Gas, High Speed Internet",N/A,N/A,N/A,None,Verve Realty Group,No,N/A,No
25 Puncheon Way,https://www.viewpoint.ca/cutsheet/202413895/1/25-Puncheon-Way,202413895,"West Bedford's newest community, Brookline Park. This new design offers a blend of modern aesthetics and functional living, making it an attractive option for families and individuals seeking a high-quality lifestyle in a burgeoning neighborhood.   With an open-concept design day - provides extra space for family activities or a more casual setting.  Kitchen with a central island and walk-in pantry, facilitating both everyday meals and entertaining.  Dedicated area for work from home needs or study.  Large windows ensure ample natural light throughout the day.  The back deck exiting from kitchen is ideal for outdoor entertaining.   Upper level with spacious primary bedroom, and 5 pc ensuite, a perfect retreat for relaxation.  Three more good sized bedrooms, great for the expanding family with another full bath.   Lower level has convenience of the 1.5 garage, family room, another bedroom and bath for overnight guests.   Property is close to parks, trails, schools and shopping.  Book your private viewing today!",2024-06-14,1089000,25 Puncheon Way,Bedford,B4B 2L1,5,4,"[{'status': 'For Sale', 'start_date': 'Apr 25, 2025', 'end_date': '', 'list_price': '$1,079,000', 'sold_price': '', 'duration': '14 days', 'changes': []}, {'status': 'Expired', 'start_date': 'Jun 14, 2024', 'end_date': 'Jul 9, 2024', 'list_price': '$1,089,000', 'sold_price': '', 'duration': '25 days', 'changes': ['Jul 10, 2024\nStatus change from For Sale to Pending', 'Jul 18, 2024\nStatus change from Pending to Withdrawn', 'Dec 14, 2024\nStatus change from Withdrawn to Expired']}, {'status': 'Sold', 'start_date': 'May 26, 2023', 'end_date': 'Jun 14, 2023', 'list_price': '$930,000', 'sold_price': '$930,000', 'duration': '19 days', 'changes': ['Jun 14, 2023\nStatus change from Pending to Sold']}]",41508201,Single Family,Detached,2 Level,28x45.4,1,5,3 / 1,"2,300 sqft","3,100 sqft","7,744 sqft","7,745 sqft","$883,600 (2025)",N/A,Asphalt Shingle,"Stone, Vinyl",Poured Concrete,"Full, Fully Developed, Walkout","Engineered Hardwood, Ceramic, Laminate",Heat Pump,Yes,N/A,Electric,Municipal,Municipal,"Yes, Built-in, 1.5 (1.5 built in)","Exposed Aggregate, Single (driveway)",No,N/A,"Air Exchanger, Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation)","Cleared, Landscaped","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer",N/A,N/A,None,Re/max Nova (halifax),Yes,N/A,No
32 Crownridge Drive,https://www.viewpoint.ca/cutsheet/202424020/1/32-Crownridge-Drive,202424020,"This 5 year young 4-bedroom family home in West Bedford is where your family’s best memories will unfold. Step into the sun-soaked living area where the massive kitchen island anchors the space, perfect for everything from school projects to holiday baking. The walk-in pantry offers a practical, clutter-free solution to store all your kitchen essentials, while the mudroom is tailor-made for busy mornings, keeping backpacks, coats, and shoes neatly out of sight. Upstairs, the primary bedroom offers a beautiful escape, with a soaker tub that invites you to relax at the end of the day, and a huge walk-in closet with enough space to keep both wardrobes effortlessly organized. The walkout basement is a flexible space where the kids can play, teens can hang out, or you can create the ultimate home theater or gym and the backyard patio is ready for some loungers so you can sit in the shade and watch the kids play.  Located on a friendly cul-de-sac in the desirable new West Bedford school district, this home checks every box for modern family living, with natural gas, and a backyard that’s just waiting for summer BBQs and playdates. Don't miss this beauty! Quick close preferred.",2024-10-05,1049900,32 Crownridge Drive,Bedford,B4B 0X4,4,4,"[{'status': 'Sold', 'start_date': 'Oct 5, 2024', 'end_date': 'Oct 23, 2024', 'list_price': '$1,049,900', 'sold_price': '$1,023,500', 'duration': '18 days', 'changes': ['Oct 10, 2024\nStatus change from For Sale to Pending', 'Oct 23, 2024\nStatus change from Pending to Sold']}, {'status': 'Sold', 'start_date': 'Jul 1, 2019', 'end_date': 'Jul 12, 2019', 'list_price': '$689,900', 'sold_price': '$698,678', 'duration': '11 days', 'changes': ['Jul 9, 2019\nStatus change from For Sale to Pending', 'Jul 15, 2019\nStatus change from Pending to Sold']}, {'status': 'Expired', 'start_date': 'Jan 18, 2019', 'end_date': 'Jul 1, 2019', 'list_price': '$689,900', 'sold_price': '', 'duration': '164 days', 'changes': ['May 13, 2019\nPrice change from $687,900 to $679,900', 'Jun 16, 2019\nPrice change from $679,900 to $689,900', 'Jul 1, 2019\nStatus change from For Sale to Expired']}, {'status': 'Expired', 'start_date': 'Apr 9, 2018', 'end_date': 'Nov 10, 2018', 'list_price': '$679,900', 'sold_price': '', 'duration': '215 days', 'changes': ['Jun 29, 2018\nPrice change from $672,900 to $679,900', 'Nov 9, 2018\nStatus change from For Sale to Expired']}]",41440439,Single Family,Detached,2 Level,31x42 +-jogs,5,4,3 / 1,"2,473 sqft","3,580 sqft","7,205 sqft","7,205 sqft","$1,070,700 (2025)",N/A,Asphalt Shingle,"Wood Siding, Brick, Vinyl",Poured Concrete,"Fully Developed, Walkout","Tile, Laminate, Hardwood",Heat Pump,Yes,N/A,Natural Gas,Municipal,Municipal,"Yes, Double, Built-in, Heated (built-in, double, heated)","Interlocking, Double (double, interlocking)",No,N/A,"Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation)","Landscaped, Level","Electrical, Cable, Telephone, Natural Gas, High Speed Internet","Dishwasher, Dryer, Range - Gas, Refrigerator, Washer",N/A,Staging furniture.,None,Royal Lepage Atlantic,Yes,N/A,No
76 William Borrett Terrace,https://www.viewpoint.ca/cutsheet/202405377/1/76-William-Borrett-Terrace,202405377,"Sitting on one of Bedford's finest Cul du sacs this 5 bedroom home is stunning.  Backing on the Larry Uteck Blvd. community park means the only neighbors you're likely to see in the backyard are birds and trees.  Gorgeous primary bedroom with vaulted ceiling, ensuite with custom shower and freestanding tub and a large walk in closet.  All the other bedrooms are spacious and on the upper level there is also a large main bath with double sinks.  A carpet free home the hardwood floors lead you to a magnificent kitchen with waterfall granite on the over sized island, gas stove and walk in pantry.  This area flows beautifully with natural light, an eating nook and large family room with fireplace and built in shelving.  The main floor also has a large entry and dining room and powder room.  Downstairs is spacious with a separate bedroom, bath, rec room and roughed in for a wet bar.  Fridge, Washer and Dryer were upgraded and under a year old.  There is tons of storage in this home, double garage and exposed aggregate and you will love the separate laundry area with barn door.  After purchase the property professionally landscaped front and back and there is additional closed in storage under the large deck which also has a natural gas BBQ hook up.",2024-03-25,1099000,76 William Borrett Terrace,Bedford,B4A 0B9,5,4,"[{'status': 'Sold', 'start_date': 'Mar 25, 2024', 'end_date': 'Jun 10, 2024', 'list_price': '$1,099,000', 'sold_price': '$995,000', 'duration': '77 days', 'changes': ['May 6, 2024\nPrice change from $1,175,000 to $1,099,000', 'Jun 3, 2024\nStatus change from For Sale to Pending', 'Jun 10, 2024\nStatus change from Pending to Sold']}, {'status': 'Sold', 'start_date': 'Oct 1, 2018', 'end_date': 'Dec 16, 2019', 'list_price': '$714,900', 'sold_price': '$717,800', 'duration': '441 days', 'changes': ['Apr 18, 2019\nPrice change from $699,900 to $714,900', 'May 21, 2019\nStatus change from For Sale to Withdrawn', 'Jun 13, 2019\nStatus change from Withdrawn to For Sale', 'Dec 6, 2019\nStatus change from For Sale to Pending', 'Dec 16, 2019\nStatus change from Pending to Sold']}, {'status': 'Expired', 'start_date': 'Aug 3, 2012', 'end_date': 'Dec 31, 2012', 'list_price': '$609,900', 'sold_price': '', 'duration': '150 days', 'changes': ['Aug 21, 2012\nStatus change from For Sale to Withdrawn', 'Dec 31, 2012\nStatus change from Withdrawn to Expired']}]",41349382,Single Family,Detached,2 Level,40 x 47,4,5,3 / 1,"2,800 sqft","3,900 sqft","6,000 sqft","6,000 sqft","$1,087,400 (2025)",N/A,Asphalt Shingle,N/A,Poured Concrete,"Full, Fully Developed","Marble, Hardwood","Forced Air, Heat Pump, Fireplace, Ducted Cooling",N/A,N/A,Natural Gas,Municipal,Municipal,"Yes, Attached, Double (large double)",Exposed Aggregate,No,N/A,N/A,N/A,"Electrical, Cable, Telephone, Natural Gas, High Speed Internet",N/A,"Fridge, cook top, oven, dishwasher, Washer, Dryer, Custom Blinds",N/A,None,Harbourside Realty Ltd.,Yes,N/A,No
205 Amesbury Gate,https://www.viewpoint.ca/cutsheet/202405436/1/205-Amesbury-Gate,202405436,"Welcome to 205 Amesbury Gate, where sustainable living meets contemporary elegance in a serene Bedford neighborhood. This impeccable residence boasts five spacious bedrooms, a south-facing garden, and a host of modern amenities, including solar panels, ensuring eco-conscious living from the moment you step inside. As you enter, natural light floods the open-concept living spaces, creating a warm and inviting atmosphere. The expansive layout seamlessly connects the living, dining, and kitchen areas, providing the ideal setting for both relaxed family gatherings and stylish entertaining.The heart of the home, the kitchen, is a chef's delight, featuring sleek countertops, top-of-the-line appliances, ample storage space, and a large walk-through pantry. From intimate breakfasts to lavish dinner parties, this culinary haven is sure to inspire your inner chef. Step outside to discover the ultimate oasis in your fully fenced yard, complete with a new back deck that spans the entire width of the home. Perfect for al fresco dining or simply basking in the sunshine, this outdoor retreat offers endless possibilities for relaxation and recreation. For those eco-conscious individuals, this property is equipped with state-of-the-art solar panels (10kw) and an EV charging station, ensuring a greener footprint while enjoying the modern comforts of home. Additionally, the new electrical rough-in for a hot tub on the lower patio promises ultimate relaxation and luxury. The lower level of this home sets up as a versatile suite, featuring a bedroom, full bath, and a spacious rec room. Whether it's accommodating guests or providing a private retreat for family members, this additional living area offers endless possibilities for customization and comfort. Whether you're commuting to the city center or enjoying a leisurely stroll through the nearby green spaces, you'll love the convenience of this prime location.",2024-03-26,1025000,205 Amesbury Gate,Bedford,B4B 0R8,5,4,"[{'status': 'Sold', 'start_date': 'Mar 26, 2024', 'end_date': 'May 10, 2024', 'list_price': '$1,025,000', 'sold_price': '$990,000', 'duration': '45 days', 'changes': ['Apr 8, 2024\nPrice change from $1,099,000 to $1,025,000', 'Apr 26, 2024\nStatus change from For Sale to Pending', 'May 13, 2024\nStatus change from Pending to Sold']}, {'status': 'Sold', 'start_date': 'Aug 10, 2018', 'end_date': 'Sep 24, 2018', 'list_price': '$599,900', 'sold_price': '$599,900', 'duration': '45 days', 'changes': ['Sep 14, 2018\nStatus change from For Sale to Pending', 'Sep 27, 2018\nStatus change from Pending to Sold']}, {'status': 'Cancelled', 'start_date': 'Apr 11, 2018', 'end_date': 'Aug 10, 2018', 'list_price': '$595,900', 'sold_price': '', 'duration': '121 days', 'changes': ['Aug 10, 2018\nStatus change from For Sale to Cancelled']}, {'status': 'Cancelled', 'start_date': 'Mar 7, 2018', 'end_date': 'Mar 29, 2018', 'list_price': '$595,900', 'sold_price': '', 'duration': '22 days', 'changes': ['Mar 29, 2018\nStatus change from For Sale to Cancelled']}, {'status': 'Expired', 'start_date': 'May 23, 2017', 'end_date': 'Mar 1, 2018', 'list_price': '$579,900', 'sold_price': '', 'duration': '282 days', 'changes': ['Feb 28, 2018\nStatus change from For Sale to Expired']}]",41406653,Single Family,Detached,3 Level,44 x 34,6,5,3 / 1,"2,515 sqft","3,596 sqft","6,356 sqft","6,356 sqft","$978,200 (2025)",Potential,Asphalt Shingle,"Wood Shingles, Stone, Vinyl",Poured Concrete,"Fully Developed, Walkout","Ceramic, Carpet, Laminate, Hardwood","Baseboard, Heat Pump",Yes,N/A,"Natural Gas, Solar, Electric",Municipal,Municipal,"Yes, Double, Built-in, Heated (double)","Paved, Double (paved double)",No,N/A,"Air Exchanger, Ensuite Bath, Fireplace(s), HRV (Heat Recovery Ventilation)","Year Round road, Landscaped, Fenced","Electrical, Cable, High Speed Internet","Dishwasher, Dryer, Refrigerator, Stove, Washer/Dryer Combo",N/A,N/A,None,Sotheby's International Realty Canada,Yes,N/A,No
